"purchase_order_description","purchase_order_contract_number","revision_number","specification_number","contract_type","start_date","end_date","approval_date","department","vendor_name","vendor_id","address_1","address_2","city","state","zip","award_amount","procurement_type","contract_pdf"
"CDPH-SHLTRBSDTMS-HLTH: Shelter Based Service Teams - PO 262491 Lawndale Christian Conference Center","267060","0","1028575","DELEGATE AGENCY",,,"2024-04-19T00:00:00.000","DEPARTMENT OF HEALTH","LAWNDALE CHRISTIAN HEALTH CENTER","22398712M","3860 W OGDEN AVE FL 1ST",,"CHICAGO","IL","60623","800000",,
"AUTOMATED SPEED ENFORCEMENT PROGRAM-CITY OF CHICAGO","28009","4","105615","PRO SERV CONSULTING $250,000orABOVE","2013-06-28T00:00:00.000","2024-06-27T00:00:00.000","2024-04-19T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","AMERICAN TRAFFIC SOLUTIONS, INC.","94279136Z","1330 W SOUTHERN AVE",,"TEMPE","AZ","85282","8000000","RFP",
"BACP-CORP-NBDC:","217962","1","1258323","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-19T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","NORTH RIVER COMMISSION 02","93461821H","3403 W LAWRENCE AVENUE EFT",,"CHICAGO","IL","60625","40000","RFP",
"BACP-CORP-NBDC:","218011","1","1258323","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-19T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","New Covenant CDC","10593568","2653 W Ogden","1st Flr Admin","Pilsen","IL","60608","30000","RFP",
"Provide a consulting role for the COVID pandemic","158837","6","1225443","COMPTROLLER-OTHER","2021-03-31T00:00:00.000","2024-04-18T00:00:00.000","2024-04-18T00:00:00.000","DEPARTMENT OF HEALTH","NATIONAL FOUNDATION FOR THE CENTERS FOR DISEASE CONTROL & PREVENTION, INC","105472440V","600 PEACHTREE ST NE STE 1000",,"ATLANTA","GA","30308","0",,
"DFSS-ARP-YS-MCMF:","264633","0","1261336","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","UCAN (ULRICH CHILDRENS ADVANTAGE NETWORK)","93262454H","3737 N MOZART ST",,"CHICAGO","IL","60618","250297",,
"DFSS-IDHS-HL-INTHS:","265084","0","1235949","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LINCOLN PARK COMMUNITY SERVICES","102495601V","600 W FULLERTON PKWY",,"CHICAGO","IL","60614","94224",,
"Grant Agreement, Grow Greater Englewood","266893","0","1297225","COMPTROLLER-OTHER","2023-10-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-18T00:00:00.000","DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS","Grow Greater Englewood, NFP","10588717","6533 S. Steward",,"Chicago","IL","60621","50000",,
"CDPH-IMMNZTN: PO 184340 ILLINOIS CHAPTER AMERICAN ACADEMY OF PEDIATRICS","251286","2","1230093","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPARTMENT OF HEALTH","ILLINOIS CHAPTER AMERICAN ACADEMY OF PEDIATRICS","94614040L","1400 W HUBBARD ST",,"CHICAGO","IL","60642","50000",,
"DFSS-CORP-YS-OST:","266886","0","1247493","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PROJECT EXPLORATION","102549293X","4511 S EVANS AVE",,"CHICAGO","IL","60653","96000",,
"DFSS-ARP-YS-MCMF:","266878","0","1261336","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CATHOLIC BISHOP OF CHICAGO - HOLY CROSS IMMACULATE HEART OF MARY","102489046E","4541 S WOOD STREET EFT",,"CHICAGO","IL","60609","250297",,
"DFSS-ARP-YS-MCMF:","237973","1","1261336","DELEGATE AGENCY","2023-08-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","YOUTH GUIDANCE","99253665A","1 N LASALLE STREET EFT",,"CHICAGO","IL","60602","147797",,
"Grant Agreement, Gary Comer Youth Center","266882","0","1297218","COMPTROLLER-OTHER","2023-10-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-18T00:00:00.000","DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS","GARY COMER YOUTH CENTER, INC.","94781128E","7200 S INGLESIDE AVE",,"CHICAGO","IL","60619","50000",,
"DFSS-IDHS-HL-INTHS:","265073","0","1235949","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LINCOLN PARK COMMUNITY SERVICES","102495601V","600 W FULLERTON PKWY",,"CHICAGO","IL","60614","19920",,
"DFSS-CORP-YS-OST:","266887","0","1247493","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","GUITARS OVER GUNS ORGANIZATION INC","105475780M","1000 W 15TH ST",,"CHICAGO","IL","60608","72000",,
"1237843: Arterial Street Resurfacing North Area-Project No. 95","260718","0","1237843","CONSTRUCTION-LARGE $3MILLIONorABOVE","2024-04-09T00:00:00.000","2025-11-01T00:00:00.000","2024-04-18T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV","42441106P","935 W CHESTNUT ST STE 20",,"CHICAGO","IL","60622-5445","10656634.5","BID",
"DFSS-CORP-YS-OST:","266883","0","1247493","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FAMILY MATTERS, INC.","91726460H","7731 N MARSHFIELD AVENUE EFT",,"CHICAGO","IL","60626","48000",,
"DFSS-CORP-YS-OST:","266881","0","1246129","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","TRUE STAR FOUNDATION, INC.","99253726A","1130 S WABASH EFT",,"CHICAGO","IL","60605","54000",,
"DFSS-ARP-YS-MCMF:","235554","2","1261336","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","THINK OUTSIDE DA BLOCK","10601271","6613 S HERMITAGE",,"CHICAGO","IL","60636","-129506.6",,
"DFSS-ARP-YS-MCMF:","264630","0","1261336","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","YOUTH GUIDANCE","99253665A","1 N LASALLE STREET EFT",,"CHICAGO","IL","60602","250297",,
"1237845: Arterial Street Resurfacing South Area-Project No. 97","262230","0","1237845","CONSTRUCTION-LARGE $3MILLIONorABOVE","2024-04-09T00:00:00.000","2025-11-01T00:00:00.000","2024-04-18T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV","42441106P","935 W CHESTNUT ST STE 20",,"CHICAGO","IL","60622-5445","11686545.6","BID",
"DFSS-CORP-YS-OST:","266899","0","1246129","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","TOGETHER CHICAGO INC","105457835H","222 S RIVERSIDE PLZ",,"CHICAGO","IL","60606","54000",,
"1237844: Arterial Street Resurfacing Central Area-Project No. 96","261258","0","1237844","CONSTRUCTION-LARGE $3MILLIONorABOVE","2024-04-09T00:00:00.000","2025-11-01T00:00:00.000","2024-04-18T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","MAT CONSTRUCTION LEASING, INC.","61324337H","4450 S MORGAN ST # 1",,"CHICAGO","IL","60609","6239503.3","BID",
"1237846: Arterial Street Resurfacing Far South Area-Project No. 98","256915","0","1237846","CONSTRUCTION-LARGE $3MILLIONorABOVE","2024-03-07T00:00:00.000","2025-11-01T00:00:00.000","2024-04-18T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","MAT CONSTRUCTION LEASING, INC.","61324337H","4450 S MORGAN ST # 1",,"CHICAGO","IL","60609","10160570.5","BID",
"DFSS-CORP-YS-OST:","266885","0","1247493","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","A SAFE HAVEN FOUNDATION","93145610H","2750 W ROOSEVELT ROAD EFT",,"CHICAGO","IL","60608","48000",,
"NOT A NEW AWARD: This replaces PO # 166860: 1202409: Chicago Department of Transportation Job Order Contract for Structures","180678","3","1202409","JOC","2021-10-07T00:00:00.000","2025-10-06T00:00:00.000","2024-04-18T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","CSI 3000 Construction JV LLC","10585210","1532 S. 50th Ct.",,"Cicero","IL","60804","8000000","BID",
"CDPH-SPECIALPOP-CORR: PO 265673 - APIC","265673","0","1296547","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-07-31T00:00:00.000","2024-04-18T00:00:00.000",,"APIC & EPIDEMIOLOGY CONSULTING SERVICES","102507198M","1400 CRYSTAL DR STE 900",,"ARLINGTON","VA","22202","230787",,
"CDPH-BEHAV HLTH:po199664 The Board of trustees of the university of illinois","226895","2","1243392","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPARTMENT OF HEALTH","BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS","102485369L","GRANTS & CONTRACTS MC/696","840 S WOOD B-  39","CHICAGO","IL","60612","-72076.3",,
"Grant Agreement, Chicago Women in Trade","266892","0","1297221","COMPTROLLER-OTHER","2023-10-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-18T00:00:00.000","DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS","CHICAGO WOMEN IN TRADES","95253090L","2444 W 16TH ST",,"CHICAGO","IL","60608","50000",,
"DFSS-ARP-YS-MCMF:","266877","0","1261336","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","NORTHWEST SIDE HOUSING CENTER","97390956Z","5233 W DIVERSEY AVENUE EFT",,"CHICAGO","IL","60638","250297",,
"CDPH-SUBST ABU: PO 255873 COOK COUNTY MEDICAL EXAMINER'S OFFICE","266865","0","1290566","DELEGATE AGENCY",,,"2024-04-18T00:00:00.000","DEPARTMENT OF HEALTH","OFFICE OF THE MEDICAL EXAMINER","85249729E","2121 W HARRISON ST",,"CHICAGO","IL","60612","200000",,
"DOH-CDBG-HCC:","266727","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","SPANISH COALITION FOR HOUSING","93725111T","1922 N PULASKI EFT",,"CHICAGO","IL","60639","180000",,
"BACP-CORP-NBDC:","266774","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","WOODLAWN CHAMBER OF COMMERCE","105477747V","6429 S DR MARTIN LUTHER KING JR DR",,"CHICAGO","IL","60637","30000",,
"TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 5: EVALUATE & PRESERVE HISTORIC PROPERTIES","37743","6","131664","PRO SERV CONSULTING $250,000orABOVE","2016-09-12T00:00:00.000","2025-03-05T00:00:00.000","2024-04-17T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","MCGUIRE, IGLESKI & ASSOCIATES","87978523E","1330 SHERMAN AVE",,"EVANSTON","IL","60201","0","MASTER AGREEMENT",
"BACP-CORP-NBDC:","266769","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","GLADSTONE PARK CHAMBER OF COMM.","93448784P","6348 N MILWAUKEE AVENUE EFT",,"CHICAGO","IL","60646","40000",,
"BACP-CORP-NBDC:","266765","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","UPTOWN UNITED","93428860L","4753 N BROADWAY EFT",,"CHICAGO","IL","60640","30000",,
"BACP-CORP-NBDC:","266781","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","LINCOLN SQUARE RAVENSWOOD CHAMBER OF COMMERCE","102612878A","2611 W LAWERNCE AVENUE FL GROUND",,"CHICAGO","IL","60625","25000",,
"DOH-CDBG-HCC:","266704","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","CENTER FOR CHANGING LIVES","1047758","1955 N. SAINT LOUIS AVE",,"CHICAGO","IL","60647","70500",,
"BACP-CORP-NBDC:","266780","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","PULASKI-ELSTON BUSINESS ASSOC.","31287032V","4357 N ELSTON AVE",,"CHICAGO","IL","60618","20000",,
"CDPH-MNTL-HLTH: PO 173601 ENLACE CHICAGO - CDBG CARES","219509","2","1207793","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","ENLACE CHICAGO","86155245M","DEV. CORP.","2756 S HARDING AVE","CHICAGO","IL","60623","-40089.8",,
"DOH-CDBG-HCC:","266755","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","RESURRECTION PROJECT","103368522L","1805 S ASHLAND AVENUE EFT",,"CHICAGO","IL","60608","150440",,
"DFSS-IDHS-HL-INTHS:","248493","1","1235949","DELEGATE AGENCY","2023-11-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","INSTITUTE FOR WOMEN TODAY","3683975V","MARIA SHELTER","7315 S YALE AVE","CHICAGO","IL","60621","292000",,
"CDPH-RW-PA: Healthcare Access -  Professional Services PO 94403 Legal Council for Health Justice","266033","0","863869-1","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","LEGAL COUNCIL FOR HEALTH JUSTICE","96825815P","180 N MICHIGAN AVENUE EFT",,"CHICAGO","IL","60601","394000",,
"BACP-CORP-NBDC:","266779","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","GREATER SOUTHWEST DEV CORP","105473950T","2601 W 63RD STREET SSA ST # 59",,"CHICAGO","IL","60629","25000",,
"DFSS-CDBG-DV-CCMS:","266722","0","1220892","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FAMILY RESCUE","102667254E","8811 S STONY ISLAND AVE",,"CHICAGO","IL","60617","141873",,
"DFSS-ARP-YS-SYEP:","232068","1","1235846","DELEGATE AGENCY","2023-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PHALANX FAMILY SERVICES","85554962P","4628 W WASHINGTON BLVD",,"CHICAGO","IL","60644","998096",,
"DFSS-CDBG-DV-CCMS:","266717","0","1220892","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BETWEEN FRIENDS","85244322M","2301 W HOWARD ST FL 1ST",,"CHICAGO","IL","60645","88317",,
"DFSS-CDBG-DV-RIM:","266725","0","1220889","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FAMILY RESCUE","102667254E","8811 S STONY ISLAND AVE",,"CHICAGO","IL","60617","57059",,
"DOH-CDBG-HCC:","266734","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","Workforce and Human Development Services DBA The Journey Forward","10617054","223 W Jackson Blvd Suite 1116",,"Chicago","IL","60606","61800",,
"DFSS-CDBG-HL-SOES:","266741","0","1236107","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CHRISTIAN COMMUNITY HEALTH CENTER","9099540Z","9718 S HALSTED ST",,"CHICAGO","IL","60628","80000",,
"DFSS-CDBG-HL-ESH:","266747","0","1235949","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FEATHERFIST","93441487X","2255 E 75TH STREET EFT ST",,"CHICAGO","IL","60649","400000",,
"CDPH-RW-PA: ESS -HRSA PO 116612  Center on Halsted","116612","26","1095441","DELEGATE AGENCY","2019-09-01T00:00:00.000","2025-02-28T00:00:00.000","2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","CENTER ON HALSTED","62852273V","3656 N HALSTED ST FL 2, 3",,"CHICAGO","IL","60613","70000000","RFP",
"CDPH-RW-PA: Healthcare Access -  Professional Services PO 94403 Legal Council for Health Justice","94403","16","863869-1","DELEGATE AGENCY","2019-03-01T00:00:00.000","2025-02-28T00:00:00.000","2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","LEGAL COUNCIL FOR HEALTH JUSTICE","96825815P","180 N MICHIGAN AVENUE EFT",,"CHICAGO","IL","60601","14926","RFP",
"CDPH-SUBST ABU: PO 266709 COOK COUNTY SHERIFF - OD2A","266709","0","1289971","DELEGATE AGENCY","2023-09-01T00:00:00.000","2024-08-31T00:00:00.000","2024-04-17T00:00:00.000",,"COOK COUNTY CONTROLLER","38641675L","118 N CLARK ST RM 537",,"CHICAGO","IL","60602","172636","SOLE SOURCE",
"DFSS-CDBG-HL-SOES:","266716","0","1236107","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LINCOLN PARK COMMUNITY SERVICES","102495601V","600 W FULLERTON PKWY",,"CHICAGO","IL","60614","100000",,
"DFSS-CDBG-DV-CCMS:","266706","0","1220892","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","RESURRECTION PROJECT","103368522L","1805 S ASHLAND AVENUE EFT",,"CHICAGO","IL","60608","59385",,
"DOH-CDBG-HCC:","266757","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","ROGERS PARK COMM DEV CORP","93419965M","1530 W MORSE AVENUE EFT",,"CHICAGO","IL","60626","124000",,
"DFSS-CDBG-DV-CCMS:","266721","0","1220892","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","HOWARD AREA COMMUNITY CENTER 01","28386163V","CENTER (AGENT)ROBERT BUCHANAN","7648 N PAULINA ST","CHICAGO","IL","60626","45000",,
"CDPH-RW-PA: PCHH-HRSA PO 116679 SINAI HEALTH SYSTEM","116679","24","1042731","DELEGATE AGENCY","2019-09-01T00:00:00.000","2025-02-28T00:00:00.000","2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","SINAI HEALTH SYSTEM","41617145V","1500 S CALIFORNIA BLVD",,"CHICAGO","IL","60608","90773","RFP",
"CDPH-RW-PA: Healthcare Access - Foodbank and Home-Delivered Meals PO 94391 THE PUERTO RICAN CULTURAL CENTER","94391","15","863869-2","DELEGATE AGENCY","2019-03-01T00:00:00.000","2025-02-28T00:00:00.000","2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","PUERTO RICAN CULTURAL CENTER","55226227V","LIZETTE SOPOMAYOR","2739 W DIVISION ST","CHICAGO","IL","60622","74922","RFP",
"DOH-CDBG-TACOM:","266754","0","1221543","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","CENTER FOR CHANGING LIVES","1047758","1955 N. SAINT LOUIS AVE",,"CHICAGO","IL","60647","52500",,
"DOH-CDBG-HCC:","266710","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","KOREAN AMERICAN COMMUNITY SERVICES, INC.","15141444E","4300 N CALIFORNIA AVENUE EFT",,"CHICAGO","IL","60618","64100",,
"DFSS-ARP-DV-CCAC:","266708","0","1256290","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CHICAGO CHILDREN'S ADVOCACY CENTER","6984030T","1240 S DAMEN AVE FL 1ST",,"CHICAGO","IL","60608","200000",,
"CDPH-RW-PA: ESS -HRSA PO 116612  Center on Halsted","266036","0","1095441","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","CENTER ON HALSTED","62852273V","3656 N HALSTED ST FL 2, 3",,"CHICAGO","IL","60613","219826",,
"To provide for services in connection to vaccination site operations","169207","4","1232508","COMPTROLLER-OTHER","2021-05-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","CORE COMMUNITY ORGANIZED RELIEF EFFORT","105463060X","6464 W SUNSET BLVD STE 530",,"LOS ANGELES","CA","90028-8034","0",,
"CDPH-RW-PA: Healthcare Access - Foodbank and Home-Delivered Meals PO 94391 THE PUERTO RICAN CULTURAL CENTER","266040","0","863869-2","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","PUERTO RICAN CULTURAL CENTER","93977356X","2739 W DIVISION STREET EFT",,"CHICAGO","IL","60622","115000",,
"DFSS-CDBG-DV-SVSE:","266737","0","1220886","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","APNA GHAR, INC.","23446563X","4753 N BROADWAY STE 632",,"CHICAGO","IL","60640","133640",,
"DFSS-CDBG-HL-ESH:","266744","0","1235949","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FAMILY RESCUE","102667254E","8811 S STONY ISLAND AVE",,"CHICAGO","IL","60617","107800",,
"DFSS-ARP-DV-GBVYP:","266740","0","1257286","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ERIE NEIGHBORHOOD HOUSE","9137861Z","1347 W ERIE ST",,"CHICAGO","IL","60622","650000",,
"BACP-CORP-NBDC:","266776","0","1208049","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","GREATER S.W. DEVELOPMENT CORP.","15055418E","2601 W 63RD STREET EFT ST",,"CHICAGO","IL","60629","85000",,
"DFSS-ARP-DV-GBVPE:","266750","0","1261264","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","SALVATION ARMY FAMILY & COMMUNITY SERVICES","25964717T","4800 N MARINE DR","STE 6","CHICAGO","IL","60630-2740","160464",,
"DOH-CDBG-HCC:","266752","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","ERIE NEIGHBORHOOD HOUSE","9137861Z","1347 W ERIE ST",,"CHICAGO","IL","60622","64100",,
"BACP-CORP-NBDC:","266768","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","GREATER S.W. DEVELOPMENT CORP.","15055418E","2601 W 63RD STREET EFT ST",,"CHICAGO","IL","60629","55000",,
"BACP-CORP-NBDC:","266775","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","GREATER SOUTHWEST DEV CORP","105473950T","2601 W 63RD STREET SSA ST # 59",,"CHICAGO","IL","60629","20000",,
"DFSS-ARP-YS-SYEP:","186950","2","1235846","DELEGATE AGENCY","2022-04-01T00:00:00.000","2024-09-30T00:00:00.000","2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","SGA YOUTH & FAMILY SERVICES, NFP","63437745V","11 E ADAMS ST STE 1500",,"CHICAGO","IL","60603","460054",,
"DFSS-CDBG-DV-SVSE:","266711","0","1220886","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","MUJERES LATINAS EN ACCION","23296996L","2823 W 17TH ST",,"CHICAGO","IL","60608","120000",,
"DOH-CDBG-HCC:","266756","0","1278176","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HOUSING","CHICAGO URBAN LEAGUE DEV CORP","31311292X","4510 S MICHIGAN AVENUE EFT",,"CHICAGO","IL","60653-3898","98790",,
"DFSS-ARP-DV-LSFGBVS:","266745","0","1242079","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LIFE-SPAN","94659814V","70 E LAKE ST",,"CHICAGO","IL","60601","321500",,
"DFSS-CDBG-DV-RIM:","266713","0","1220889","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","METROPOLITAN FAMILY SERVICE","102603122X","SUITE 1000","SUITE 1000","CHICAGO","IL","60602","156015",,
"DFSS-CDBG-DV-MDTSFV:","266724","0","1220502","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FAMILY RESCUE","102667254E","8811 S STONY ISLAND AVE",,"CHICAGO","IL","60617","65895",,
"GRANT AGREEMENT, CHICAGO CONVENTION AND TOURISM BUREAU DBA CHOOSE CHICAGO","266728","0","1297096","COMPTROLLER-OTHER","2024-01-01T00:00:00.000","2025-03-31T00:00:00.000","2024-04-17T00:00:00.000","DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS","CHICAGO CONVENTION & TOURISM BUREAU, INC.","14253061H","2301 S LAKE SHORE DR","2301 S LAKE SHORE DR","CHICAGO","IL","60616","10250000",,
"DFSS-CDBG-HL-ESH:","266746","0","1235949","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","COVENANT HOUSE ILLINOIS INC","105478484E","30 W CHICAGO AVE",,"CHICAGO","IL","60654","182355",,
"BACP-CORP-NBDC:","266764","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","EDGEWATER DEVELOPMENT CORP 01","93753764L","1106-1108 W BRYN MAWR AVENUE EFT",,"CHICAGO","IL","60660","45000",,
"BACP-CORP-NBDC:","266778","0","1258323","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","51ST STREET BUSINESS ASSOCIATI","96113112M","220 E 51ST STREET EFT ST",,"CHICAGO","IL","60615","50000",,
"Arterial Street Resurfacing ¿ South Area","42311","10","160864","CONSTRUCTION-LARGE $3MILLIONorABOVE",,,"2024-04-17T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","GALLAGHER ASPHALT CORP","31283796E","18100 S INDIANA AVE",,"THORNTON","IL","60476","-38904.5","BID",
"CDPH-RW-PA: PCHH-HRSA PO 116679 SINAI HEALTH SYSTEM","266438","0","1042731","DELEGATE AGENCY",,,"2024-04-17T00:00:00.000","DEPARTMENT OF HEALTH","SINAI HEALTH SYSTEM","41617145V","1500 S CALIFORNIA BLVD",,"CHICAGO","IL","60608","638530",,
